	Polyp.02	Polyp.03	Polyp.05	Polyp.08.WGS	Polyp.09	Ha.22	Ha.12	Ha.6	Ha.4
AADACL4	0	0	0	0	0	0	0	0	0
AASDH	0	0	0	0	0	0	0	0	0
ABCA12	0	0	0	0	0	0	0	0	0
ABCA4	0	0	0	0	0	0	0	0	0
ABCC12	1	0	0	0	0	0	0	0	0
ABCC3	0	0	0	1	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0	0
ABLIM3	0	0	0	1	0	0	0	0	0
ACAD10	0	0	0	1	0	0	0	0	0
ACADS	0	0	0	0	0	0	0	0	0
ACOX2	0	0	0	0	0	0	0	0	0
ACSBG1	0	0	0	0	0	0	0	0	0
ACSS3	0	0	0	0	0	0	0	0	0
ADAD1	0	0	0	1	0	0	0	0	0
ADAM12	0	0	0	0	0	0	0	0	0
ADAM18	0	0	0	0	0	0	0	1	0
ADAMTS2	0	0	0	1	0	0	0	0	0
ADAMTS20	0	0	0	1	0	0	0	0	0
ADSS	0	0	0	0	0	0	0	0	0
AGPAT9	0	0	0	0	0	0	1	0	0
AIPL1	0	0	0	0	0	0	0	0	0
AK4	0	0	0	0	0	0	0	0	0
AKAP12	0	0	0	0	1	0	0	0	0
ALDH6A1	0	0	0	0	0	0	1	0	0
ALMS1	0	0	0	0	0	0	0	0	0
AMPD2	0	0	0	1	0	0	0	0	0
ANGPT2	0	0	0	0	0	0	0	0	0
ANK2	0	0	0	0	0	0	0	1	0
ANKRD12	0	0	0	0	0	0	0	0	0
ANKRD34A	0	0	0	0	0	0	0	1	0
ANTXR1	0	0	0	1	0	0	0	0	0
AOC3	0	0	0	0	0	0	0	1	0
APBA2	0	0	0	1	0	0	0	0	0
APC	0	0	1	1	0	1	1	0	1
APOBEC4	0	0	1	0	0	0	0	0	0
APOBR	0	0	0	0	0	0	0	0	0
AQP7	0	0	0	0	0	0	0	0	0
ARAP1	0	0	0	0	0	0	0	0	0
ARHGEF10	0	0	0	1	0	0	0	0	0
ARMC7	0	0	0	0	0	0	0	0	0
ARMC9	0	0	0	0	0	0	0	0	0
ASB18	0	0	0	1	0	0	0	0	0
ASCC3	0	0	0	0	0	0	0	1	0
ASIC4	0	0	0	0	0	0	0	0	0
ASTL	0	0	0	0	0	0	0	0	0
ATM	1	0	0	0	0	0	0	0	0
ATP10A	0	0	0	0	0	0	0	0	0
ATP13A2	0	0	1	0	0	0	0	0	0
ATP1A2	0	0	0	0	1	0	0	0	0
ATP6V0A1	0	0	1	0	0	0	0	0	0
ATP9A	0	0	0	0	0	0	0	0	0
ATXN10	0	0	0	0	0	0	0	0	0
B4GALNT2	0	0	0	1	0	0	0	0	0
BAI1	0	0	0	0	0	0	0	1	0
BIN1	0	0	0	0	0	0	0	0	0
BRMS1	0	0	0	0	0	0	0	0	0
BTBD7	0	0	0	0	0	0	0	0	0
BTNL9	0	0	0	1	0	0	0	0	0
C11orf71	1	0	0	0	0	0	0	0	0
C12orf43	0	0	0	0	0	0	0	0	0
C15orf40	0	0	0	0	0	1	0	0	0
C16orf58	0	0	0	0	0	0	0	0	0
C1orf177	0	0	0	0	0	0	0	0	0
C1QTNF6	0	0	0	0	0	0	0	0	0
C22orf42	1	0	0	0	0	0	0	0	0
C2CD2L	0	0	0	0	0	0	0	0	0
C5orf34	1	0	0	0	0	0	0	0	0
C9orf131	0	0	0	0	0	0	0	0	0
C9orf24	0	0	0	0	0	0	0	0	0
CABIN1	0	0	0	0	0	0	0	0	0
CABYR	0	0	0	1	0	0	0	0	0
CARD11	0	0	0	0	0	0	0	1	0
CAV1	0	0	0	0	0	0	0	1	0
CCDC114	0	0	0	0	1	0	0	0	0
CCDC136	0	0	1	0	0	0	0	0	0
CCDC170	0	0	0	0	0	0	0	0	0
CCDC65	0	0	0	0	0	0	0	0	0
CCNY	0	0	0	1	0	0	0	0	0
CD276	0	0	0	0	0	0	0	0	0
CD2AP	0	0	0	1	0	0	0	0	0
CD68	0	0	0	0	1	0	0	0	0
CDC27	0	0	0	0	0	0	0	0	0
CDC42BPA	0	0	0	1	0	0	0	0	0
CDH22	0	0	0	0	0	0	0	0	0
CDH26	0	0	0	0	0	0	0	0	0
CDH4	0	0	0	0	0	0	0	0	0
CDRT15L2	0	0	0	0	0	0	0	0	0
CEACAM6	0	0	0	0	0	0	0	1	0
CEP170	0	0	0	0	1	0	0	0	0
CHRNB4	0	0	0	0	0	0	0	0	0
CHST15	0	0	0	0	0	0	0	1	0
CLASRP	0	0	0	0	0	0	0	0	0
CLCN7	0	0	0	0	0	0	0	1	0
CLPS	0	0	0	0	0	0	0	0	0
CMYA5	1	0	0	1	0	0	0	0	0
COL12A1	0	0	0	0	0	0	0	0	0
COL15A1	0	0	0	0	0	0	0	0	0
COL23A1	0	0	0	0	1	0	0	0	0
COL4A3	0	0	0	0	0	0	0	1	0
COL6A2	0	0	0	1	0	0	0	0	0
COL9A1	0	0	0	0	0	0	0	1	0
COMMD3	0	0	0	0	0	0	0	0	0
COMT	0	0	0	0	0	0	0	0	0
CREBBP	0	0	0	0	1	0	0	0	0
CROCC	0	0	1	0	0	0	0	0	0
CSMD2	0	0	0	0	0	0	0	0	0
CSMD3	0	0	0	0	0	0	0	0	0
CSTF3	0	0	0	0	0	0	0	0	0
CTAGE9	0	0	0	0	0	1	0	0	0
CYP2A7	0	0	0	1	0	0	0	0	0
CYP2C19	0	0	0	1	0	0	0	0	0
CYP4F22	0	0	0	0	1	0	0	0	0
DAAM1	0	0	1	0	0	0	0	0	0
DACT3	0	0	0	0	0	0	0	0	0
DCAF4L2	0	0	0	0	0	0	0	0	0
DCDC5	0	0	1	0	0	0	0	0	0
DCLRE1C	0	0	0	0	0	0	0	0	0
DCTN2	0	0	0	0	0	0	0	0	0
DDX41	0	0	0	0	0	0	0	0	0
DDX46	0	0	0	0	0	0	0	0	1
DENND3	0	0	0	1	0	0	0	0	0
DGKG	0	0	0	0	0	0	0	0	0
DHX33	0	0	0	0	0	0	0	1	0
DHX35	0	0	0	1	0	0	0	0	0
DIRAS2	1	0	0	0	0	0	0	0	0
DKK2	0	0	0	0	0	0	0	0	0
DLC1	0	0	1	0	0	0	0	0	0
DLG1	0	0	0	0	0	0	0	0	0
DMC1	0	0	0	0	0	0	0	0	0
DNAH11	0	0	0	0	0	0	0	0	0
DNAH6	0	0	0	0	0	0	1	0	0
DNAJB13	0	0	0	0	0	0	0	1	0
DNAJB9	0	0	0	0	0	0	0	0	0
DNMT1	0	0	0	0	0	0	0	0	0
DNPEP	0	0	0	1	0	0	0	0	0
DOCK4	0	0	0	1	0	0	0	0	0
DPP7	0	0	0	1	0	0	0	0	0
DSEL	0	0	0	0	0	0	0	0	0
DSPP	0	0	0	0	0	0	0	0	0
DST	0	0	0	0	0	0	0	0	0
DYDC1	0	0	0	0	0	0	0	0	0
DYSF	0	0	0	0	0	0	0	0	0
EFTUD1	0	0	1	0	0	0	0	0	0
