	Set.01	Set.02	Set.03	Set.04	Set.05	Set.06	Set.07	Set.08	Set.09.Distal	Set.09.Proximal	Set.10
AADACL4	0	1	0	0	0	0	0	0	0	0	0
AAR2	0	0	0	0	0	0	0	0	0	0	0
AARD	0	0	0	0	0	0	0	0	0	0	0
AARS2	0	0	0	0	0	0	0	0	0	0	0
AATK	0	0	1	0	0	0	0	0	0	0	0
ABCA1	0	0	0	0	0	0	1	0	0	0	0
ABCA13	0	0	0	1	0	0	0	0	0	0	0
ABCA2	0	0	0	1	0	0	0	0	0	0	0
ABCA3	0	0	1	0	0	0	0	0	0	0	0
ABCA6	0	0	0	1	0	0	0	0	0	0	0
ABCA7	1	0	0	0	0	0	0	0	0	0	0
ABCA8	0	0	1	0	0	0	0	0	0	0	0
ABCB10	0	0	0	0	0	0	0	0	0	0	0
ABCB11	0	0	0	0	0	0	0	0	0	0	1
ABCC1	0	0	1	0	0	0	0	0	0	0	0
ABCC12	0	0	0	1	0	0	0	0	0	0	0
ABCC6	0	0	0	1	0	0	0	0	0	0	0
ABTB2	0	0	0	1	0	0	0	0	0	0	0
ACACA	0	0	0	1	0	0	0	0	0	0	0
ACACB	0	0	0	1	0	0	0	0	0	0	0
ACAD10	0	0	1	0	0	0	0	0	0	0	0
ACADS	0	0	0	0	0	1	0	0	0	0	0
ACAN	0	0	0	0	0	0	0	0	0	0	0
ACBD5	0	0	0	1	0	0	0	0	0	0	0
ACLY	0	0	0	1	0	0	0	0	0	0	0
ACOT12	0	0	0	0	0	0	1	0	0	0	0
ACSF2	0	0	0	0	0	0	0	0	0	0	0
ACSM4	0	0	0	0	1	0	0	0	0	0	0
ACTA1	0	0	0	0	0	0	0	0	0	0	0
ACTL10	0	0	0	0	0	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0	0	0	0	0	0
ACTR5	0	0	0	1	0	0	0	0	0	0	0
ACVR1C	0	0	0	1	0	0	0	0	0	0	0
ADA	0	0	0	1	0	0	0	0	0	0	0
ADAM18	0	0	0	0	0	0	0	0	0	0	0
ADAM23	0	0	0	1	0	0	0	0	0	0	0
ADAM29	0	0	0	1	0	0	0	0	0	0	0
ADAM7	0	0	0	1	0	0	0	0	0	0	0
ADAMTS16	0	0	0	0	0	0	1	0	0	0	0
ADAMTS18	0	0	0	0	0	0	0	0	1	0	0
ADAMTS2	0	0	0	0	0	0	0	0	0	0	0
ADAMTS4	0	0	0	0	0	0	0	0	0	0	0
ADAMTS5	0	0	1	0	0	0	0	0	0	0	0
ADAMTSL1	0	0	0	1	0	0	0	0	0	0	0
ADARB2	0	0	0	1	0	0	0	0	0	0	0
ADCY4	0	0	0	0	0	0	0	0	0	0	0
ADCY5	0	0	0	1	0	0	0	0	0	0	0
ADCY7	0	0	1	0	0	0	0	0	0	0	0
ADD1	0	0	1	0	0	0	0	0	0	0	0
ADGB	0	0	0	0	0	0	0	0	0	0	0
ADRA1A	0	0	0	1	0	0	0	0	0	0	0
ADRA2C	0	0	0	0	0	0	0	0	0	0	0
ADRBK1	0	0	0	1	0	0	0	0	0	0	0
AEBP1	0	0	0	1	0	0	0	0	0	0	0
AEN	0	0	0	0	0	0	0	0	0	0	0
AFF3	0	0	1	0	0	0	0	0	0	0	0
AFTPH	0	0	0	0	0	0	0	0	0	0	0
AGAP1	0	0	0	0	0	0	0	0	0	0	0
AGAP2	0	0	0	1	0	0	0	0	0	0	0
AGO2	0	0	0	1	0	0	0	0	0	0	0
AGPAT6	0	0	0	0	0	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0	0	0	1	0	0
AHI1	0	0	0	0	0	0	0	0	0	0	0
AHNAK2	0	0	0	0	0	0	0	0	0	0	0
AICDA	0	0	0	0	0	0	0	0	0	0	0
AJAP1	0	0	0	1	0	0	0	0	0	0	0
AK2	0	0	0	0	0	0	0	0	0	0	0
AK6	0	0	0	0	0	0	0	0	0	0	0
AKAP1	0	0	0	0	0	0	0	0	0	0	0
AKAP10	0	0	0	1	0	0	0	0	0	0	0
AKAP2	0	0	0	1	0	0	0	0	0	0	0
AKAP3	0	0	0	0	0	0	0	0	0	0	0
AKAP6	0	0	0	0	0	0	0	0	0	0	0
AKAP7	0	1	0	0	0	0	0	0	0	0	0
AKAP8L	0	0	0	0	0	0	0	0	0	0	0
AKAP9	0	0	0	0	0	0	0	0	0	0	0
AKR1B10	0	0	0	1	0	0	0	0	0	0	0
AKR1C4	1	0	0	0	0	0	0	0	0	0	0
ALAD	0	0	0	1	0	0	0	0	0	0	0
ALDH3A1	0	0	0	1	0	0	0	0	0	0	0
ALDH9A1	0	0	0	0	0	0	0	0	0	0	0
ALG11	0	0	0	0	0	0	0	0	1	0	0
ALKBH6	0	0	0	0	0	0	0	0	0	0	0
ALOX12B	0	0	0	1	0	0	0	0	0	0	0
ALOXE3	0	0	0	0	0	0	0	0	1	0	0
ALPK1	0	0	0	0	0	0	0	0	0	0	0
ALX4	0	0	1	0	0	0	0	0	0	0	0
AMER2	0	0	1	0	0	0	0	0	0	0	0
AMOTL1	0	0	0	0	0	0	0	0	0	0	0
AMOTL2	0	0	0	1	1	0	0	0	0	0	0
AMPD1	0	0	0	0	0	1	0	0	0	0	0
AMZ1	0	0	0	1	0	0	0	0	0	0	0
ANAPC1	0	0	0	0	0	0	0	0	0	0	0
ANAPC2	0	0	0	1	0	0	0	0	0	0	0
ANGEL1	0	0	0	1	0	0	0	0	0	0	0
ANGPT1	1	0	0	0	0	0	0	0	0	0	0
ANGPTL3	0	0	0	0	0	0	0	0	1	0	0
ANK1	0	0	1	0	0	0	0	0	0	0	0
ANK2	0	1	0	0	0	0	0	0	0	0	0
ANKLE2	0	0	0	0	0	0	0	0	0	0	0
ANKRD13B	0	0	0	1	0	0	0	0	0	0	0
ANKRD36	0	0	0	0	0	0	0	0	0	0	0
ANKRD44	0	0	0	0	0	0	0	0	0	0	1
ANKS1B	0	0	0	0	0	0	0	0	0	0	0
ANKZF1	0	0	0	0	0	0	0	0	0	0	0
