	APC	AURKA_gain	TP53	KRAS	PTEN_loss	PIK3CA	CCND2_gain	CCND3_gain	ERBB2_gain	ARID1A	ATM	BRAF	SMAD4	SOX9	MLL2	BMPR2	ASPM	TCF7L2	FN1	PTEN	CREBBP	FBXW7	CDK12	GNAS	AKAP9	CTNNB1	TRIO	NRAS	CEP290	CHD4	MGA	NF1	PTPRU	AXIN2	ITSN1	CLSPN	MAP3K4	MECOM	RTN4	TBX3	TGFBR2	GATA3	SRGAP3	CTCF	LPHN2	SF3B1	CAD	CASP8	CUL1	PIK3R1
APC	NA	2.61699280217306	2.21993844378186	1.81666642635022	1.76561969453467	1.25774427027925	1.11199742760591	1.19560570534314	1.35641223379463	0.781852248248512	0.788788833049538	0.688489612577204	1.01372654986284	0.986673517433169	0.821887470650189	0.592702012855562	0.60032408681509	1.17950995549439	0.62601463232387	0.792835725660582	0.872004573019395	1.23749827772242	0.606530366889127	0.605732494202777	0.60823162524236	0.500928020317806	0.396496536853406	0.866464598050257	0.648229232888324	0.681273219091368	0.681145588686855	0.806165666143118	0.583981161610989	0.730279650892007	0.442631159667691	1.2587548628919	0.629928195103089	0.628390717562692	0.951295623001445	0.950766756593441	0.626970880020434	0.63436816486276	0.791113514487855	0.875742204346735	0.878769286991844	0.878723176991101	0.777026110458163	0.776162545326133	0.543324835636656	1.23230965925266
AURKA_gain	2.61699280217306	NA	2.53428452891531	1.8034511925435	1.93084242531636	1.3632896892954	1.34981363365006	1.56595906853049	1.60607183540036	0.869050035552432	0.759098173022934	0.769932942023236	1.00170124331207	1.08101044972808	0.715703835734896	0.460704377952578	0.47180909815886	1.0354832015849	0.729364862741206	0.545495272843637	0.79657035615195	0.894964440872842	0.615867058661764	0.727913102550627	0.387933412693914	0.504309224299937	0.730983631199614	0.650387792368532	0.416472190037531	0.559205283411879	0.420173351282721	0.424908836713221	0.590987656725818	0.7474898228694	0.592544101982503	0.639416087546929	0.813181950159693	0.373571501822623	0.810603072141534	0.987408261947424	0.464399297417317	0.640780434185216	0.975577408397971	0.500360079332987	0.703354780055065	0.899695008978708	0.552371007337159	0.550629511575626	0.796472096104968	1.0435774734169
TP53	2.21993844378186	2.53428452891531	NA	1.51219642481678	1.71531763614818	1.03876130261201	1.21304381137807	1.29025181897602	1.26328064125366	0.816462978722034	0.773356624124707	0.778732087275816	0.98252427184466	0.949357033731098	0.782613727769292	0.565664067774226	0.515022956665101	0.879640066390754	0.640361338103508	0.719915412564099	0.584088748210661	0.938799309811388	0.697789316184267	0.793155412984039	0.701244910178153	0.70130839139755	0.704817455173904	1.13310702362828	0.530750045261585	0.650646010405476	0.650100831553437	0.766536064408405	0.808251559665163	0.682418554036591	0.552224305572038	0.571662018766305	0.718252258587099	0.49412653741922	0.862096265400469	1.00724764160745	0.861260686446058	0.864330721657492	0.719758331155991	0.77257458546626	0.772624828288162	0.942302978461171	0.644453545074663	0.854483504833	0.852217607315445	1.06231436738001
KRAS	1.81666642635022	1.8034511925435	1.51219642481678	NA	1.08639923202538	1.22201528485616	1.10924278787061	1.02435637730499	0.900392561111048	0.78376040092181	0.916556840876419	0.654697583840946	0.924071884589559	1.05748520822326	0.788431851237075	0.65543666016107	0.813216702715673	0.911706511126808	0.703025714847449	0.890641944774846	0.796071938098057	0.938329329769598	0.655852417658251	0.6560052704168	0.660390607240182	0.891476144499299	0.664262500314377	0.66706732200688	0.76581162468211	0.68416805556262	0.777813340445867	0.688415375433788	0.900986193293886	0.801065184670603	0.801118672864547	1.16473651115842	0.830030266852138	0.714253070551271	0.714298777003086	0.830228988888207	0.82961472864827	0.831991399016489	0.945649421706324	0.666637790290874	0.871163887658733	0.869471993205823	0.934673495191509	0.932972976406361	0.770935660645423	0.771134636023598
PTEN_loss	1.76561969453467	1.93084242531636	1.71531763614818	1.08639923202538	NA	0.854978795752941	0.891831307519875	0.981215572900322	1.01194259018266	0.780574029388107	0.791503011384854	0.831966163524964	0.918068356594287	0.760086947088018	0.681671619289258	0.650886568286186	0.664794221636192	0.84921326014185	0.806519859288569	0.864511623266487	0.834057201685809	0.899747921975718	0.701994301994302	0.91942049648392	0.666385888680136	0.706516060017873	0.783519149768495	0.947678599351959	0.728764741551399	0.683105441158613	0.683043380915422	0.732840146732609	0.738817689930663	0.6929774737635	0.743657666836475	0.700031389525269	0.863885721275293	0.699776649367484	0.757702323717949	0.757227045575823	0.699838479277732	0.760534671098948	0.760358263789013	0.713513107873876	0.778662433456954	0.902556433810439	0.731709345516052	0.731706045240407	0.958820865652892	0.810299686249053
PIK3CA	1.25774427027925	1.3632896892954	1.03876130261201	1.22201528485616	0.854978795752941	NA	1.00285369483723	0.881270652687779	0.970826467782499	1.01153127024867	0.915166735735997	0.842039088816077	1.05176410648325	0.960355371337142	0.87016203799798	0.845491251682369	0.891701130410808	0.92708672401767	0.939143401620276	0.982833960046333	0.912532998771531	0.858990678280756	1.03346832936683	0.807049823754406	0.81048663019256	1.08374771141242	0.928722946139492	0.880963245008189	0.947202533262621	0.829944206364883	0.829352318174823	0.833558480322153	0.987335024234093	0.916017652603018	0.840953917876995	0.852495871438682	0.935284000669302	0.806384152125477	1.01666574736989	0.806540846385412	0.806313034685078	0.810855810855811	0.936827757805282	0.817725963357031	0.869011025888412	0.869864360645703	0.832967032967033	0.832733534725567	1.00870591719055	0.832830346642215
CCND2_gain	1.11199742760591	1.34981363365006	1.21304381137807	1.10924278787061	0.891831307519875	1.00285369483723	NA	0.930533249198268	0.910987937252394	0.919018553000026	0.890630200799669	0.887414208706558	0.851505004210494	0.934408407481165	0.913281996150522	0.807090961636267	0.895614140027662	0.799878853072798	0.931760985572172	0.931050148523502	0.845797367147913	0.950587483229119	0.908533441866775	0.850153475766584	0.822666191382486	0.909642321065989	0.912420141441544	0.91959706959707	0.842633314259244	0.872294530166036	0.871975692611284	0.840687445306383	0.880045872424863	0.882303342590424	0.882996915188821	0.892526260301624	0.972010756353445	0.850086711642612	0.969409232215653	0.893442788237934	0.850252951096121	0.854180770685625	0.896361020093272	0.909774397739387	0.860856384994316	0.997855924509093	1.03586014664	0.930828630828631	0.874562200025944	1.03418382206771
CCND3_gain	1.19560570534314	1.56595906853049	1.29025181897602	1.02435637730499	0.981215572900322	0.881270652687779	0.930533249198268	NA	1.02669138777103	0.747517519618475	0.788914800722414	0.776500730016838	0.82208497099008	0.831640294343421	0.7741548717441	0.793742943023908	0.807832341099143	0.810509587005428	0.845626682483917	0.845698617616817	0.908175950828512	0.825884606424559	0.827895559027003	0.859983038308161	0.832544045712307	0.863070057302807	0.836826677122426	0.835070707643769	0.852428393033709	0.846593897024975	0.846713590509409	0.850704103858015	0.888600973271509	0.854562063500865	0.854206678122578	0.859227107965299	0.901130905001538	0.900951570889373	0.859875770529747	0.859260538548998	0.859237131081791	0.863443248856483	0.903431647785448	0.870022987245407	0.870320959619853	0.917381017058585	0.883492381504719	0.883932955709784	0.88372334843328	0.884347008655247
ERBB2_gain	1.35641223379463	1.60607183540036	1.26328064125366	0.900392561111048	1.01194259018266	0.970826467782499	0.910987937252394	1.02669138777103	NA	0.787186160236587	0.804382748814499	0.768479351955028	0.837898921450195	0.992100971476963	0.789685770273974	0.809025385189136	0.823037898797034	0.800448075716607	0.859708973651016	0.833089024362399	0.870037454773396	0.921693345904887	0.84285632524673	0.843045666089626	0.84740309130553	0.877849000716324	0.851590390797439	0.849808240550553	0.867211501505687	0.861112551652608	0.861512748777945	0.865409100844126	0.864849859339951	0.905612607375832	0.869018689702499	0.873764928075432	0.873655147024987	0.873549455928311	0.91518796560782	0.873833208263834	0.873663836547018	0.877412539394686	0.91653821519317	0.88406380199114	0.929856867832929	0.884229891208911	0.89814294923784	0.897018804775202	0.89711990785336	0.897394904589149
ARID1A	0.781852248248512	0.869050035552432	0.816462978722034	0.78376040092181	0.780574029388107	1.01153127024867	0.919018553000026	0.747517519618475	0.787186160236587	NA	1.04713152844331	1.02474043315461	0.923179856684746	0.894116828445187	1.05061481894275	1.0216489404007	0.990235694125167	1.0286863063481	0.957445887199239	0.998153744780876	0.975959316771313	0.92857933135805	1.07953810419968	0.936651120687959	1.03280589702121	0.987930113751825	1.03249136691609	0.946313646174564	1.08365691485925	1.06512843133928	1.15396748807115	1.014247779352	0.974535779707336	0.974966788292966	1.08644386752929	0.921435336209618	1.05794709333411	0.9912932995644	1.05907727425703	0.922272527542469	0.991942602051621	1.11348613054712	0.924420365627205	1.0145177328472	0.935930522007943	0.892765440045775	1.13377660642833	1.13242737475305	1.04855512357047	0.905581458242235
