	PTEN_loss	CDK6_gain	MET_gain	CDKN2A_loss	TP53	MDM4_gain	PTEN	EGFR	CDK4_gain	CCND2_gain	MDM2_gain	PIK3CA	NF1	RB1	FGFR3_gain	IDH1	PIK3R1	KDR	ZNF814	MAP3K4	ANK3	BRCA1	CASP1	CHD8	CUL1	DIS3	HSP90AB1	KRAS	NFATC4	RPL5	SIN3A	SOS1	SOX9	SPTAN1
PTEN_loss	NA	2.29509225611739	2.24842777468712	2.18883079874099	1.39644563611932	1.66248861939215	1.68010490766787	1.58261028090286	1.52157352900245	1.50718865559374	1.44183288163581	1.25500967636423	1.36583555743515	1.46043808310297	1.56158296103366	0.889094879205851	1.54782284987039	1.53855276347632	1.25038104314093	1.04525005899937	1.51781963881959	1.52131722596717	1.54534738499126	1.50809352735615	1.52131722596717	0.788217905405405	1.50510167117465	1.5362864221415	0.433991788231357	1.53651736001422	1.52052596762225	1.49380205138772	1.51355527052239	1.52767859771175
CDK6_gain	2.29509225611739	NA	2.27944283188278	2.06337191051274	1.34536988090209	1.5580758049164	1.55014962649158	1.57349025434704	1.46989338411708	1.39086993587134	1.408028002149	1.2976468665246	1.22491901676829	1.40293677917074	1.59030074860724	0.795611964119954	1.37295551922937	1.57698955641597	1.5594415206151	0.632251362019124	1.54833537156536	1.54890703092461	1.55823470521637	1.54616740013717	0.863419885177453	0.877803735828148	0.863362140948564	1.57146112469308	0.86719405961377	1.54776418799417	0.855033719683221	1.55823470521637	1.54049480244639	1.56921954247675
MET_gain	2.24842777468712	2.27944283188278	NA	2.0041112412154	1.33719970038409	1.46021757379491	1.54930869340241	1.52767188326499	1.4204120793731	1.29975215076951	1.34895194430815	1.38803469444006	1.22986829364222	1.40541438352946	1.59912949190121	0.651356086997288	1.18301047593937	1.58604506360188	1.56854373290014	0.654713904430235	1.52809569988384	1.57112426653247	1.56480751193724	1.55659013740571	0.877135496102356	0.888291745607992	0.87340089639336	1.57607784559835	0.905351765860761	1.54089798263802	0.877829463528414	1.56283092539378	1.56086005249958	1.57359659261564
CDKN2A_loss	2.18883079874099	2.06337191051274	2.0041112412154	NA	0.941818050278652	1.36415693080973	1.32370981305114	1.32472062738981	1.29478896831723	1.20993005825849	1.35808626826356	1.16088162414778	1.33979626102195	0.506547415682533	1.19523112657279	1.1446810597262	1.20930436170618	1.58802599009901	1.58826536251105	1.13031438330115	1.57007807048151	1.58480272731281	1.59174580046095	1.56427772711482	0.898522617523222	1.55658379025991	0.903606652379286	1.55738346725419	0.902431070991967	1.57147768948655	1.57946459943781	1.57698788908373	1.56151141879009	0.913525069900586
TP53	1.39644563611932	1.34536988090209	1.33719970038409	0.941818050278652	NA	0.961576669541646	1.15511009693425	1.02232268211478	0.953003341119502	1.19233450276711	0.95194341962648	1.03810118064259	0.878331300401843	1.32691690254089	1.14863949432445	1.51173669220974	0.894634075788256	0.851709981817821	0.852328002519597	0.921252490039841	0.995539655679812	1.22527329073561	0.997679455445545	1	1.22863234561753	0.997495795409577	1.68625982070911	1	1.21721724456099	1	1.22790187450278	1.22681051587302	0.997587589073634	1.22753750993641
MDM4_gain	1.66248861939215	1.5580758049164	1.46021757379491	1.36415693080973	0.961576669541646	NA	1.19376491072803	1.07068878187894	1.0947948732307	1.21187409581329	0.987215189260249	1.08508477741632	1.06276389453601	0.826094546872903	1.01936588532324	0.878826935279188	0.838557815729813	0.873961414902468	0.981690644274142	0.9490404264343	1.27638354459031	1	1	1.27348672367237	1	1	1.2794280915509	1.28159309240622	1	1	1	1	1.2896162561004	1
PTEN	1.68010490766787	1.55014962649158	1.54930869340241	1.32370981305114	1.15511009693425	1.19376491072803	NA	0.882425698219251	0.843809918802207	0.913782800434255	0.787486710902559	0.877000107388316	0.993180678779776	1.3194072682692	1.02607363553417	0.82154269841061	1.22700295565466	1.1964535683781	0.987734234739677	0.952793383270911	1	1.27175700800915	1	1.28202230369245	1.28133204492415	1.28690885355204	1.28410474360479	1	1	1.27054503823328	1.27509360599078	1	1	1
EGFR	1.58261028090286	1.57349025434704	1.52767188326499	1.32472062738981	1.02232268211478	1.07068878187894	0.882425698219251	NA	1.13134335822886	1.08979545083943	0.958380055870318	0.974119290116829	0.869469548022963	1.0159755636396	1.12633073853915	0.908024358769689	1.00942435260023	1.07276650227618	0.962719603368952	1.19604018307285	1.34746570121951	1.35443177024747	1	1	1.35029914033457	1	1	1	1	1	1	1	1	1
CDK4_gain	1.52157352900245	1.46989338411708	1.4204120793731	1.29478896831723	0.953003341119502	1.0947948732307	0.843809918802207	1.13134335822886	NA	1.55713702775169	1.77569901315789	0.984910997920285	0.925849540335398	0.881024585083421	1.13878398791541	1.11635548285199	1.17531765305831	0.970815267618373	0.972324757736481	1	1.36347507753101	1.35659362672584	1	1	1	1	1	1.78773527992278	1	1	1	1	1	1
CCND2_gain	1.50718865559374	1.39086993587134	1.29975215076951	1.20993005825849	1.19233450276711	1.21187409581329	0.913782800434255	1.08979545083943	1.55713702775169	NA	1.60201461624785	0.911729922657846	0.886352127860379	0.941211327345309	1.24060298489441	1.36626805135408	1.1851927997076	0.981629035542789	0.984050506046267	1	1	1	1	1	1.38334851764577	1	1	1.81713918890301	1	1	1	1	1	1
