	VHL	CDKN2A_loss	PBRM1	SETD2	BAP1	MTOR	ATM	ARID1A	MLL3	CLTC	DIS3	PTEN	ACO1	EIF2C3	EIF4A2	MAX	NCOR1	NFE2L2	NUP98	SOX9	TBL1XR1	ZNF814	DHX15	ACTG1	ARHGAP26	ASH1L	BMPR2	CAD	CCAR1	COPS2	EGFR	EIF4G1	ELF1	FUS	HDAC9	IDH1	KEAP1	LPHN2	MET	MGA	PABPC1	PSMA6	RPL5	SHMT1	TCF12	TJP1	WHSC1L1
VHL	NA	1.22482240106847	1.06146455131174	1.05441077211909	1.12690118993016	1.06183997716678	1.02613244371823	1.28178197469005	1.29025549613785	0.936302485483731	0.940603909548009	0.940904095445318	1.01864430764877	1.0185416341603	0.8569425062894	0.858197311443152	1.01663698914858	1.33639184387955	0.85551678298438	1.01633298208641	0.855379013022087	1.01802924559654	1.0185793578421	1.17244411533299	0.937362623677607	1.17476322175507	0.934822790074396	0.937056522577315	1.63808346028985	0.942848136331506	1.1719978669034	1.170516433079	0.931311843622898	1.17916382427	0.937171219431768	0.939254594460604	0.941572428648358	0.940821198829024	0.937094742734524	1.170516433079	0.935991257886167	1.17962371317004	1.1806231697097	0.938362845138055	1.17236968208723	0.936865603474792	0.93941035181086
CDKN2A_loss	1.22482240106847	NA	1.13598014079551	1.25976471061726	1.30307172019836	1.15159013293192	0.783497097898721	1.09950875425117	1.4867362848927	0.945645658605824	1.43023600432213	0.953915450477712	1.35191507482839	1.35134675954363	1.0342673323894	0.868432174461472	1.03278410136355	1.34356435430531	1.03210132968725	1.03627851620534	1.03088669095957	0.867308064828566	0.870949210421448	1.18232303814772	0.943140409824428	1.18147995347761	1.63105564183175	1.64694643006236	0.957146296444908	0.953110797525967	0.948690495799704	0.950960829958854	0.946694979854078	1.19509990412188	0.955257682697381	1.18386370941819	1.64405762304922	1.19244116719742	1.19084401908049	1.18417305679927	1.65852734726787	1.19534306865763	1.19803413879342	0.94817865783175	1.61669633786013	0.949880067902016	1.18109773244369
PBRM1	1.06146455131174	1.13598014079551	NA	1.01081811328366	0.81800072346743	1.00565906244823	0.87874352977091	0.894959934015393	0.984731400233513	0.917266305167115	1.03044647137716	1.02197685978383	0.950052805528359	0.951234762076746	1.09785378458888	1.36780320354879	1.09447079510026	0.955036069856369	1.09345894837887	0.953422129147329	0.954705981834642	0.951928246045893	0.956881430715539	1	1	1.62284488104984	1.2293560957506	1	1.22124912110489	1	1	1	1	1	1	1.22778254586533	1.2298212013582	1.22558139874242	1.23216255649265	1	1	1	1	1	1.63967589923288	1	1
SETD2	1.05441077211909	1.25976471061726	1.01081811328366	NA	0.895582693509058	0.964234246036945	0.97916654047058	0.993284786116077	1.07378324080275	1	1.10558509117933	1	1	1	1	1	1.16058815776212	1.39051554852135	1	1	1.16102004279628	1	1	1	1.25919829834646	1	1	1.27202158790236	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.26168732887778	1	1.27202158790236
BAP1	1.12690118993016	1.30307172019836	0.81800072346743	0.895582693509058	NA	0.980690757544295	1.063039357157	1	1	1	1	1	1	1	1	1	1	1.18728058394711	1	1.18350572911225	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.29583059989795	1	1
MTOR	1.06183997716678	1.15159013293192	1.00565906244823	0.964234246036945	0.980690757544295	NA	1	1	1.1122248259583	1.15306463053365	1.15189610820679	1	1	1.19849218664284	1	1.20478017493461	1	1	1.19400342960233	1	1	1	1	1.29740871613663	1	1	1	1	1	1	1	1	1	1	1	1	1	1.29068661421603	1	1	1	1	1	1	1	1	1
ATM	1.02613244371823	0.783497097898721	0.87874352977091	0.97916654047058	1.063039357157	1	NA	1	1	1	1	1	1	1	1	1	1	1.2307363447966	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID1A	1.28178197469005	1.09950875425117	0.894959934015393	0.993284786116077	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.3317871951648	1	1	1	1	1
MLL3	1.29025549613785	1.4867362848927	0.984731400233513	1.07378324080275	1	1.1122248259583	1	1	NA	1	1.220031264232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CLTC	0.936302485483731	0.945645658605824	0.917266305167115	1	1	1.15306463053365	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1.39113816765276	1	1	1	1	1	1.35417870852045	1	1	1	1	1	1	1	1	1	1	1.34920530479157	1.35586672026442	1	1	1	1	1
