	CDKN2A_loss	PTEN_loss	ANK3	BRAF	NRAS	SVEP1	PCDH18	ARID2	NF1	MECOM	TP53	PLCB1	AHNAK	MSR1	HDAC9	CDKN2A	MDM2_gain	ASPM	COL1A1	CDK4_gain	ARHGAP29	PTEN	PPP6C	CHD6	FN1	USP6	MAGI2	TCF4	ARID1B	NUP98	BPTF	CHD9	CTNNB1	DICER1	SYK	IDH1	EZH2	TRERF1	ARHGEF2	FCRL4	PTGS1	RASA2	BRWD1	MAP3K4	NFATC4	AFF4	BAZ2B	MAP2K1	NCOR1	ARFGEF2
CDKN2A_loss	NA	2.45125758450255	1.09996585831508	1.98609934986409	1.58236413620522	1.21852337034842	1.11042876101662	1.00843717359896	0.987593380751831	1.23361647571762	1.16389801387851	1.06058250987646	1.17854129632788	1.02569005653475	1.1432746325132	1.53618465018202	1.55381621773339	1.10610949761561	1.22898637499023	1.44599427601688	1.08316240721984	1.27024883410783	1.44874969719756	1.1461598417014	1.26887083338295	1.17353378495513	0.918754883357518	1.17380241919203	1.14689809046891	1.31500668139525	1.10855682972681	1.01143187671129	1.20250168400569	1.20201272156733	1.11096925948882	1.17301009267928	1.07084729009619	0.97429230952581	1.35620871085411	1.03087471869912	1.03042817916846	1.02880223072491	0.927351440025332	1.24858985303982	1.1395519941509	1.33477738331789	1.32751183580468	1.43441315837434	1.33435415815979	0.98675806769051
PTEN_loss	2.45125758450255	NA	0.812167856563579	1.8108851970376	1.12448297141238	1.0899572546465	0.829472032917615	0.894422782643371	0.736003208917413	0.924103579355652	1.07218828094836	1.05072914372284	0.941895292481413	0.809148413184697	0.904810772371274	1.09347015567473	1.38032571764363	1.0127835436848	0.794162498670591	1.30026016585573	0.814241688973408	1.35352217360925	1.32293278533477	0.929562131290329	0.957558000767402	0.770809409376465	0.997301758949934	0.698063041004892	1.03432473874847	0.876700666845615	1.08091710287277	1.07732735890552	0.828103329853124	0.828362258892046	0.914934336017285	0.683111449514099	0.681620400899126	0.951169353772229	1.18318277214027	0.904834429221979	0.900943730427513	0.90392313280816	0.711849760598429	0.999356740061294	0.903335059058314	0.94801601435387	1.25027101879229	1.24967599754048	0.84528569306563	0.532478723089516
ANK3	1.09996585831508	0.812167856563579	NA	0.820927120030715	0.951829084556689	0.952131028932925	0.951515494101878	0.935180015620931	1.0076299656149	0.910318224754656	0.924147657124835	0.955784944527754	0.995418421103823	0.864008957259339	0.957877544980665	0.8654242485459	0.802311685149024	0.962525736031931	0.984970452628129	0.745662736651865	0.940486535297315	0.735173511983931	0.786490071514365	1.00344108837152	0.987864771558461	1.03986648637642	1.00402136963391	0.969807290766279	0.863451950224342	0.944744942705425	0.918386791877553	0.741587175682951	0.786822808272633	0.920614507610717	1.00454292863104	0.981765996217219	1.02558642314119	0.89435516606978	0.90861642842437	1.00604674357713	0.95815617670137	1.04788705007994	0.910111156873832	0.813355692880598	1.00649824817868	0.931151206336033	0.767379111824656	0.823159507335804	0.931257032527013	1.07976734945426
BRAF	1.98609934986409	1.8108851970376	0.820927120030715	NA	0.379564343743669	0.903156556536408	0.781278685232211	0.838312603383117	0.54145265215706	1.00211555066449	0.910199637247076	0.792041864102597	0.858110463228801	0.661440184516351	0.811625751224521	0.969447132767517	1.12484387323868	0.658718571120295	1.03572172394992	1.06219306650915	0.926072455353795	1.17545273114138	0.918425339046068	0.974254846371925	0.942744104376431	0.784215276626862	0.907360272202147	0.847816619874777	0.801864172954734	0.93007932509901	0.821609380603449	0.961000587129109	0.822751779971466	0.682035717639773	0.892195472436182	0.696547407686132	0.847072785060718	0.919459017563482	0.79273607187291	0.872787732059925	0.950986857591879	0.874410502788304	0.955228296990941	0.95092439500977	0.639869526705247	0.822754728393245	1.0701161408024	0.987882499797987	1.15582808805497	0.73751171391015
NRAS	1.58236413620522	1.12448297141238	0.951829084556689	0.379564343743669	NA	0.908968455520612	0.953607381136513	1.00588435986263	0.847075424923472	0.938353772972635	1.0320070205737	0.92129030595649	0.98149798991397	0.925468187497394	0.825214478364527	0.999560249095531	0.754796390126624	1.00951755757257	0.788361226046006	0.741126896057166	0.925765110917517	0.712670979059914	1.15969325505959	1.02432368547229	0.891309204647006	0.795970175170824	0.852656890292586	1.00720512937772	1.02559027682411	0.858686129356739	1.09876036936941	0.811675635011673	0.80942225290508	1.04449116680731	0.810559312222099	0.945732265717988	0.883656156702833	1.0045191796649	0.962611410709509	0.830731705785011	0.832607962941852	0.727050618698054	0.766734486982723	0.96439075318718	1.20088252167329	1.05075180331779	0.983657111371223	0.843236661721318	0.729655891680527	0.983775778950515
SVEP1	1.21852337034842	1.0899572546465	0.952131028932925	0.903156556536408	0.908968455520612	NA	1.00974229398974	0.898074298229768	0.968874809374983	1	0.978575311440973	1.09379269663466	0.937547419771449	0.913079059114449	0.912404379586301	0.969314893248925	0.957719269907621	0.877764710368698	0.954351521131251	0.890491476891414	0.993825260272427	0.874872507649541	0.927633760134589	0.889012334271385	1.01236008790408	1.0588225576212	1.02244234499605	0.985616998917362	0.911962470976847	0.997577584865819	0.964871941190292	0.92205156750739	0.875350864929101	1.0092263246101	0.965479814299203	0.928821030172775	0.882744416654699	0.978292817830267	0.99004800722485	0.942269559765706	0.89257811446748	1.03553549120165	0.990101282792944	0.894594819252628	0.84312174361383	1.00548271060571	0.952942907495668	0.900006235504007	0.952887635672073	0.901802194220172
PCDH18	1.11042876101662	0.829472032917615	0.951515494101878	0.781278685232211	0.953607381136513	1.00974229398974	NA	0.953564643083326	1.04460295380317	0.936521575452972	0.984051062867769	1.01449242526447	1.0150931896579	0.98940789664705	0.939034677019769	0.939638703177579	0.853572696721279	1.02879512860659	1.01164703944017	0.880348836386393	0.923433666390455	0.938773646455962	0.911949235498074	1.0260799375169	0.920672110047462	1.08038371833429	1.00876558706482	1.00853921764862	1.0580149322413	1.01834095800982	0.987630946305805	0.899071787123614	0.944847927346633	0.987828742450096	0.98754888808937	1.00015436508129	0.907153847083322	0.998965882126595	1.0107640932295	1.05542660949939	0.965645386725673	0.964910858156298	1.01208381428976	0.964847055162499	0.917060691404978	1.16504787381341	0.921877798504892	0.922771025180189	0.975208197857109	0.870338435305253
ARID2	1.00843717359896	0.894422782643371	0.935180015620931	0.838312603383117	1.00588435986263	0.898074298229768	0.953564643083326	NA	1.04362604222916	1.03240925895217	0.958767405239128	0.941553559614267	1.01462022728118	0.941644024564371	0.967569207489759	0.877850865196835	0.78341620552303	0.939081970124332	0.917826750276709	0.784378815148578	0.819736286776046	1.00864019194436	0.914090341093164	1.02732867818733	1.07176013270588	0.930794806893135	0.932377762428144	1.00855873177495	1.01760697726206	0.937250173962168	1.176789399623	0.901318605091758	0.901481396616824	0.988800909678175	0.900617496546586	0.953313034117218	0.956206389416193	1.11421085080148	0.965622317968635	1.05619443704854	0.965441047328129	0.965444752672674	1.05205666495989	0.842649387641778	0.869687714390696	1.02447044164475	0.924680751531037	0.84129229703199	1.02538983710999	0.873487151197876
NF1	0.987593380751831	0.736003208917413	1.0076299656149	0.54145265215706	0.847075424923472	0.968874809374983	1.04460295380317	1.04362604222916	NA	0.963973360405504	1.04051644537842	1.08618139751801	0.945116538611703	0.968199069313948	1.0706493395073	0.943140852985376	0.78406551479806	1.03034936300842	0.918886076425065	0.806714991942795	0.990098378552098	0.86520336180147	0.830701847568889	1.06569513671687	1.00227184415296	1.08207867440147	1.01215286767117	1.01111436825325	1.13084829116631	0.938588374322727	1.07104385659748	0.855558464625075	0.990499964507962	1.03170279555647	0.948202987241987	0.907876577487143	1.0012310579911	0.958509672838754	0.966784943323341	1.10155446406824	1.01362761850075	1.14274641906736	1.05547443736539	0.870829137176603	0.96677884370211	0.979009859256095	0.871217863426409	0.841401745928582	1.02616551076898	1.11791717742641
MECOM	1.23361647571762	0.924103579355652	0.910318224754656	1.00211555066449	0.938353772972635	1	0.936521575452972	1.03240925895217	0.963973360405504	NA	1.05062858704564	0.918821883846186	1.05060266869897	0.916510867117968	1.03011197394329	0.977558157879251	0.778042563024907	0.907627211126843	0.988802428579062	0.77779792046754	0.995435055620071	0.98222726817279	0.914595504379187	0.873759675493883	0.965729389273797	1.01821025484792	0.977306958387833	0.977382001904823	0.983993716728564	1.02803503195357	0.847663133246345	0.900796427476355	0.995714654864078	0.899732439495724	1.04140168584063	0.957524782129169	0.909010582188048	0.959843833992293	0.915191807116397	1.01824577318854	0.917671610355734	1.06836847597287	1.01754157138734	0.919554044311406	0.919067243093908	0.981066625254612	0.835125448028674	0.835118652878458	0.925189998161851	0.869273131738682
